negatives
"frozenset({'O43390', 'Q6PJ61', 'Leptin'})"
"frozenset({'P38405', 'Leptin', 'Q8NG75'})"
"frozenset({'Leptin', 'Q6XQN6', 'Q9GZT8'})"
"frozenset({'Leptin', 'Q9NSV4', 'P12830'})"
"frozenset({'Leptin', 'Q7L2J0', 'P27635'})"
"frozenset({'Leptin', 'Q9UGV2', 'Q53H82'})"
"frozenset({'Leptin', 'Q9Y483', 'Q96LA8'})"
"frozenset({'Leptin', 'Q70E73', 'P00519'})"
"frozenset({'Q92997', 'Leptin', 'Q96H86'})"
"frozenset({'Leptin', 'P04626', 'Q9NZJ7'})"
"frozenset({'Q15653', 'Leptin', 'P46940'})"
"frozenset({'Q969V5', 'Leptin', 'P60604'})"
"frozenset({'Q9BW71', 'Leptin', 'Q9H6Z4'})"
"frozenset({'Leptin', 'P08581', 'P51451'})"
"frozenset({'Leptin', 'O95995', 'O00463'})"
"frozenset({'P31040', 'Q9P2R7', 'Leptin'})"
"frozenset({'Q9NV79', 'Leptin', 'Q9BSM1'})"
"frozenset({'Leptin', 'P11474', 'Q92830'})"
"frozenset({'P78371', 'Leptin', 'Q96JK2'})"
"frozenset({'Leptin', 'Q13794', 'Q01094'})"
"frozenset({'Q9Y3C1', 'Leptin', 'Q9H4G0'})"
"frozenset({'Leptin', 'Q9UM73', 'Q16537'})"
"frozenset({'Leptin', 'P16403', 'Q96EB6'})"
"frozenset({'Q9NP98', 'Leptin', 'Q14315'})"
"frozenset({'Leptin', 'Q96GD4', 'P49450'})"
"frozenset({'Leptin', 'Q13315', 'Q7Z460'})"
"frozenset({'Leptin', 'Q13188', 'Q6ZU80'})"
"frozenset({'Leptin', 'P59768', 'P28222'})"
"frozenset({'Q9NSC5', 'Leptin', 'Q6NYC8'})"
"frozenset({'Leptin', 'Q08462', 'P63211'})"
"frozenset({'Q9C0H2', 'Leptin', 'Q9BPW9'})"
"frozenset({'Leptin', 'Q96L33', 'Q9P286'})"
"frozenset({'Q7Z5Q5', 'Leptin', 'Q13535'})"
"frozenset({'Leptin', 'Q92804', 'P35240'})"
"frozenset({'P27694', 'Leptin', 'P04083'})"
"frozenset({'Leptin', 'Q8IVT5', 'O75147'})"
"frozenset({'Leptin', 'A8MTZ0', 'Q8IWZ6'})"
"frozenset({'Leptin', 'P49459', 'Q04323'})"
"frozenset({'P29401', 'Leptin', 'P14174'})"
"frozenset({'O75553', 'O00241', 'Leptin'})"
"frozenset({'Q9HCE1', 'Leptin', 'P17612'})"
"frozenset({'Leptin', 'P11532', 'Q8TDR0'})"
"frozenset({'P16333', 'Leptin', 'O14827'})"
"frozenset({'Leptin', 'P05129', 'Q9BZL6'})"
"frozenset({'Q16637', 'Leptin', 'Q9BQG0'})"
"frozenset({'Leptin', 'Q8TAT6', 'P14866'})"
"frozenset({'Leptin', 'O14647', 'P63165'})"
"frozenset({'Leptin', 'Q13200', 'P04637'})"
"frozenset({'O00159', 'Leptin', 'Q8N302'})"
"frozenset({'Leptin', 'P04085', 'Q16620'})"
"frozenset({'Leptin', 'P51784', 'Q9UM54'})"
"frozenset({'Leptin', 'Q96QV1', 'Q9Y4K3'})"
"frozenset({'Leptin', 'Q99750', 'Q8N7E2'})"
"frozenset({'Q86YV0', 'Leptin', 'Q9NRD5'})"
"frozenset({'Q9NS69', 'Leptin', 'Q14318'})"
"frozenset({'Leptin', 'P17612', 'P42261'})"
"frozenset({'Q9UKT4', 'Leptin', 'Q9UJX3'})"
"frozenset({'Leptin', 'P30536', 'P48047'})"
"frozenset({'Leptin', 'Q9UKT9', 'Q9Y4C2'})"
"frozenset({'Leptin', 'P35270', 'O15498'})"
"frozenset({'Leptin', 'P60520', 'Q562R1'})"
"frozenset({'Leptin', 'Q9C002', 'Q9BU61'})"
"frozenset({'Leptin', 'O43760', 'Q6AZY7'})"
"frozenset({'Leptin', 'P21802', 'P55075'})"
"frozenset({'Leptin', 'Q8WWQ0', 'Q99496'})"
"frozenset({'Leptin', 'P07900', 'Q9HCK5'})"
"frozenset({'Q92905', 'Leptin', 'Q9UKB1'})"
"frozenset({'Q92993', 'Leptin', 'O95257'})"
"frozenset({'Leptin', 'Q92900', 'P02751'})"
"frozenset({'Q9UQC2', 'Leptin', 'O95544'})"
"frozenset({'Q08379', 'Leptin', 'Q9ULW0'})"
"frozenset({'Leptin', 'P62736', 'Q86VP6'})"
"frozenset({'Leptin', 'Q8NHX4', 'Q9BYR5'})"
"frozenset({'Leptin', 'O60684', 'O43791'})"
"frozenset({'Leptin', 'Q04724', 'P06746'})"
"frozenset({'O95782', 'Leptin', 'Q86UZ6'})"
"frozenset({'Leptin', 'P01137', 'P09529'})"
"frozenset({'O75365', 'Leptin', 'O43156'})"
"frozenset({'Leptin', 'Q9NX63', 'Q9Y2J4'})"
"frozenset({'Q8IYU8', 'Leptin', 'O15254'})"
"frozenset({'Leptin', 'Q03135', 'Q15835'})"
"frozenset({'Q7Z6Z7', 'P06744', 'Leptin'})"
"frozenset({'Q13286', 'Leptin', 'Q8N1F7'})"
"frozenset({'Q92696', 'Leptin', 'P04637'})"
"frozenset({'Leptin', 'Q9H8V3', 'Q9Y606'})"
"frozenset({'Leptin', 'Q9UKN8', 'O95340'})"
"frozenset({'P31273', 'Leptin', 'Q9H2G9'})"
"frozenset({'Leptin', 'Q04724', 'Q15038'})"
"frozenset({'Q99853', 'Leptin', 'Q8N5N7'})"
"frozenset({'Leptin', 'Q9H2V7', 'Q07817'})"
"frozenset({'Q8TF42', 'Leptin', 'O43597'})"
"frozenset({'Q92764', 'Leptin', 'P49639'})"
"frozenset({'Leptin', 'P26641', 'Q13011'})"
"frozenset({'Leptin', 'P24394', 'P07332'})"
"frozenset({'Leptin', 'Q9BXS6', 'Q96IR7'})"
"frozenset({'Q92520', 'Leptin', 'Q6ZS10'})"
"frozenset({'Leptin', 'P78368', 'Q16539'})"
"frozenset({'P60369', 'Leptin', 'Q9BU23'})"
"frozenset({'Leptin', 'P02751', 'P61604'})"
"frozenset({'P42167', 'Leptin', 'P62807'})"
"frozenset({'Q92905', 'Leptin', 'P62899'})"
"frozenset({'Leptin', 'Q9UP65', 'P05067'})"
"frozenset({'Leptin', 'P29317', 'O15520'})"
"frozenset({'Leptin', 'P48431', 'P68366'})"
"frozenset({'Leptin', 'Q96LJ8', 'P60510'})"
"frozenset({'Leptin', 'Q13418', 'P16188'})"
"frozenset({'Q00978', 'Leptin', 'P09914'})"
"frozenset({'Leptin', 'P0DP23', 'P34932'})"
"frozenset({'Q9NPJ6', 'Leptin', 'Q6ZU80'})"
"frozenset({'Q15468', 'Leptin', 'P60891'})"
"frozenset({'Leptin', 'Q01726', 'Q9NPQ8'})"
"frozenset({'Leptin', 'P52198', 'Q13153'})"
"frozenset({'Leptin', 'P0DMV8', 'P01106'})"
"frozenset({'Leptin', 'P38646', 'P33981'})"
"frozenset({'P22607', 'P46934', 'Leptin'})"
"frozenset({'P27694', 'O43390', 'Leptin'})"
"frozenset({'Q969J5', 'Leptin', 'P29597'})"
"frozenset({'Q15418', 'Leptin', 'O15530'})"
"frozenset({'O14757', 'Leptin', 'P63104'})"
"frozenset({'Leptin', 'A8MQ03', 'P04070'})"
"frozenset({'P0C1H6', 'Leptin', 'Q9UQL6'})"
"frozenset({'P07437', 'Leptin', 'Q15717'})"
"frozenset({'P01860', 'P35219', 'Leptin'})"
"frozenset({'Leptin', 'Q6K0P9', 'P09936'})"
"frozenset({'Q8N6P7', 'Leptin', 'Q969D9'})"
"frozenset({'Leptin', 'Q9H9P5', 'O60341'})"
"frozenset({'Leptin', 'Q14833', 'O95467'})"
"frozenset({'Leptin', 'Q53HC9', 'Q9ULM3'})"
"frozenset({'Q9BVA1', 'Leptin', 'O15357'})"
"frozenset({'Q86T82', 'P14635', 'Leptin'})"
"frozenset({'Leptin', 'Q9NYY3', 'P01009'})"
"frozenset({'Leptin', 'P31689', 'Q16659'})"
"frozenset({'Leptin', 'Q8IYB3', 'P22626'})"
"frozenset({'Leptin', 'Q9H444', 'P55072'})"
"frozenset({'Leptin', 'O15155', 'Q9BXK5'})"
"frozenset({'Leptin', 'P61981', 'Q5TBA9'})"
"frozenset({'Leptin', 'Q71U36', 'Q8NCM8'})"
"frozenset({'O95166', 'Leptin', 'P62847'})"
"frozenset({'Leptin', 'O60832', 'P61221'})"
"frozenset({'Leptin', 'O95167', 'Q9UKR5'})"
"frozenset({'Leptin', 'P05129', 'P21730'})"
"frozenset({'Leptin', 'Q96QZ7', 'Q9H251'})"
"frozenset({'Leptin', 'Q86X55', 'Q5VZV1'})"
"frozenset({'Leptin', 'P06241', 'P16671'})"
"frozenset({'Leptin', 'Q99436', 'P62191'})"
"frozenset({'Q15149', 'Leptin', 'P05161'})"
"frozenset({'Leptin', 'O00139', 'Q01085'})"
"frozenset({'Leptin', 'P25098', 'Q8NGX6'})"
"frozenset({'Q9UBS8', 'Leptin', 'O14933'})"
"frozenset({'Q9Y5L0', 'Leptin', 'P49760'})"
"frozenset({'Leptin', 'Q8TAQ2', 'Q8WUZ0'})"
"frozenset({'Q13952', 'Leptin', 'Q96RK0'})"
"frozenset({'P12980', 'Q9BQ75', 'Leptin'})"
"frozenset({'Leptin', 'Q9Y6C9', 'P16615'})"
"frozenset({'Q9BQB6', 'Leptin', 'P07306'})"
"frozenset({'Leptin', 'Q9ULC4', 'P28482'})"
"frozenset({'Leptin', 'Q9HAW0', 'O75533'})"
"frozenset({'Leptin', 'P49458', 'Q6ZW49'})"
"frozenset({'Leptin', 'P08621', 'O75643'})"
"frozenset({'P00533', 'Leptin', 'P52333'})"
"frozenset({'P54652', 'Leptin', 'Q99614'})"
"frozenset({'Q13291', 'Leptin', 'P07948'})"
"frozenset({'Leptin', 'Q9NRH1', 'Q9BSK2'})"
"frozenset({'P48960', 'Leptin', 'P01106'})"
"frozenset({'Leptin', 'O00459', 'P01116'})"
"frozenset({'Leptin', 'O60684', 'O95198'})"
"frozenset({'Leptin', 'Q7Z3S9', 'Q8IXW0'})"
"frozenset({'P43243', 'Leptin', 'Q9ULX6'})"
"frozenset({'Q6NUN9', 'Leptin', 'O60506'})"
"frozenset({'Q9BWV1', 'Leptin', 'Q14623'})"
"frozenset({'Leptin', 'P06241', 'Q13023'})"
"frozenset({'Leptin', 'P23560', 'Q16288'})"
"frozenset({'Leptin', 'P52272', 'P23246'})"
"frozenset({'Leptin', 'Q93062', 'P51959'})"
"frozenset({'P62714', 'Leptin', 'Q6IQ23'})"
"frozenset({'Leptin', 'Q15370', 'Q13951'})"
"frozenset({'Q8N157', 'Leptin', 'P43034'})"
"frozenset({'P43243', 'Leptin', 'Q9UHX1'})"
"frozenset({'Q99459', 'Leptin', 'O75616'})"
"frozenset({'Q92905', 'Leptin', 'P35544'})"
"frozenset({'P56537', 'Leptin', 'P29218'})"
"frozenset({'Q8NB15', 'Leptin', 'Q96F07'})"
"frozenset({'Q07954', 'O14979', 'Leptin'})"
"frozenset({'P38405', 'Leptin', 'Q8NGZ9'})"
"frozenset({'Leptin', 'P35637', 'O60356'})"
"frozenset({'Leptin', 'Q96CW5', 'Q9Y3D9'})"
"frozenset({'P20160', 'Leptin', 'P01023'})"
"frozenset({'P47756', 'Leptin', 'P60520'})"
"frozenset({'Q9UEE9', 'Leptin', 'Q01844'})"
"frozenset({'Q15059', 'Leptin', 'P04629'})"
"frozenset({'O95967', 'Leptin', 'P46379'})"
"frozenset({'P49736', 'Leptin', 'O14933'})"
"frozenset({'Leptin', 'P22455', 'Q15147'})"
"frozenset({'P07437', 'Leptin', 'Q96RU3'})"
"frozenset({'Leptin', 'P63151', 'P05109'})"
"frozenset({'Q9NQG5', 'Leptin', 'Q15554'})"
"frozenset({'Q9Y478', 'P50148', 'Leptin'})"
"frozenset({'Leptin', 'Q2VPB7', 'Q9GZT8'})"
"frozenset({'Leptin', 'Q9Y265', 'P27708'})"
"frozenset({'Q08379', 'Leptin', 'Q15560'})"
"frozenset({'Q8NEY8', 'Leptin', 'P49760'})"
"frozenset({'Leptin', 'Q9P035', 'Q9Y6E2'})"
"frozenset({'Leptin', 'P28749', 'Q14209'})"
"frozenset({'Q8N165', 'Leptin', 'P07900'})"
"frozenset({'P62266', 'Leptin', 'P18124'})"
"frozenset({'Q8NE35', 'Leptin', 'P53350'})"
"frozenset({'Leptin', 'P49207', 'P78362'})"
"frozenset({'Leptin', 'Q7L5Y6', 'P01100'})"
"frozenset({'Q16666', 'Leptin', 'Q9Y324'})"
"frozenset({'Leptin', 'Q01113', 'Q969D9'})"
"frozenset({'Q01433', 'Leptin', 'P46934'})"
"frozenset({'Leptin', 'P16234', 'Q9HCT0'})"
"frozenset({'Q8WXG6', 'Leptin', 'Q8TDY2'})"
"frozenset({'P84022', 'P10275', 'Leptin'})"
"frozenset({'Leptin', 'Q13162', 'P06733'})"
"frozenset({'O75031', 'Leptin', 'Q7Z3K3'})"
"frozenset({'O95166', 'Leptin', 'Q15417'})"
"frozenset({'Leptin', 'Q9H8H0', 'P41218'})"
"frozenset({'O95166', 'P31943', 'Leptin'})"
"frozenset({'Leptin', 'Q9NZI7', 'O14980'})"
"frozenset({'Leptin', 'P06241', 'P46092'})"
"frozenset({'Leptin', 'Q15051', 'P35579'})"
"frozenset({'P49411', 'Leptin', 'Q9NRC8'})"
"frozenset({'Leptin', 'Q15717', 'P11940'})"
"frozenset({'Leptin', 'P13612', 'Q99832'})"
"frozenset({'Leptin', 'Q9UJX5', 'Q6ZW49'})"
"frozenset({'Q8IWF2', 'Leptin', 'O75445'})"
"frozenset({'Leptin', 'Q96EB6', 'P36956'})"
"frozenset({'Q9Y282', 'Q6ZTN6', 'Leptin'})"
"frozenset({'Leptin', 'P26447', 'Q9Y6Y9'})"
"frozenset({'Leptin', 'P07237', 'P26368'})"
"frozenset({'Q6PEY2', 'Leptin', 'Q9BXB1'})"
"frozenset({'Leptin', 'Q9UBU9', 'P11801'})"
"frozenset({'Leptin', 'P30480', 'P55735'})"
"frozenset({'Q13547', 'Leptin', 'O14802'})"
"frozenset({'O15488', 'Leptin', 'P54840'})"
"frozenset({'Q01523', 'P50222', 'Leptin'})"
"frozenset({'Leptin', 'O75528', 'Q9NS73'})"
"frozenset({'Q9H4B6', 'Leptin', 'O14654'})"
"frozenset({'P16333', 'Leptin', 'O60880'})"
"frozenset({'P04062', 'Leptin', 'Q15366'})"
"frozenset({'P59991', 'Leptin', 'O15160'})"
"frozenset({'Q04637', 'Leptin', 'P04792'})"
"frozenset({'P30048', 'Leptin', 'Q15935'})"
"frozenset({'Leptin', 'Q8WWV6', 'P04637'})"
"frozenset({'Leptin', 'Q9Y4E5', 'O60341'})"
"frozenset({'Leptin', 'P01160', 'O00482'})"
"frozenset({'P01909', 'Leptin', 'Q99962'})"
"frozenset({'Leptin', 'Q9GZT3', 'Q96E11'})"
"frozenset({'Leptin', 'Q495M9', 'Q9UER7'})"
"frozenset({'Leptin', 'Q96GF1', 'P13569'})"
"frozenset({'Leptin', 'P31483', 'O95786'})"
"frozenset({'Leptin', 'P15336', 'P06400'})"
"frozenset({'Q9NPJ6', 'Leptin', 'Q8IY31'})"
"frozenset({'P45973', 'Q9H707', 'Leptin'})"
"frozenset({'Leptin', 'P17931', 'Q86WC4'})"
"frozenset({'Leptin', 'Q92820', 'O43765'})"
"frozenset({'Leptin', 'P07550', 'P13688'})"
"frozenset({'Leptin', 'O43324', 'P61313'})"
"frozenset({'P62273', 'Leptin', 'P46779'})"
"frozenset({'Q07889', 'Q8WV28', 'Leptin'})"
"frozenset({'Q99460', 'Q49AN0', 'Leptin'})"
"frozenset({'Leptin', 'P62847', 'Q13620'})"
"frozenset({'Leptin', 'Q9H9B4', 'Q99496'})"
"frozenset({'Leptin', 'O00429', 'Q9GZY8'})"
"frozenset({'Q8TEW0', 'Leptin', 'O60739'})"
"frozenset({'P13639', 'Leptin', 'Q7L5N1'})"
"frozenset({'Leptin', 'O14908', 'Q9Y3T9'})"
"frozenset({'Q9H2L4', 'Leptin', 'Q13323'})"
"frozenset({'Leptin', 'Q9UNZ2', 'Q8TBC4'})"
"frozenset({'Q96HA1', 'Leptin', 'Q8NFH5'})"
"frozenset({'Leptin', 'Q9UQL6', 'O14744'})"
"frozenset({'Leptin', 'Q12986', 'Q08170'})"
"frozenset({'Q9UN19', 'Leptin', 'Q96R05'})"
"frozenset({'Q9NUX5', 'Leptin', 'Q96A49'})"
"frozenset({'Leptin', 'O14646', 'P10451'})"
"frozenset({'P62333', 'Leptin', 'Q9UNM6'})"
"frozenset({'Leptin', 'P06899', 'O75478'})"
"frozenset({'Leptin', 'Q96ST8', 'O94927'})"
"frozenset({'A1A4S6', 'Leptin', 'P61587'})"
"frozenset({'Leptin', 'Q12857', 'P11182'})"
"frozenset({'P35372', 'Leptin', 'P61952'})"
"frozenset({'P12931', 'Leptin', 'Q9NZV5'})"
"frozenset({'P09486', 'P26358', 'Leptin'})"
"frozenset({'Q9UBN7', 'Q9UQ35', 'Leptin'})"
"frozenset({'Q8WZ59', 'Leptin', 'Q07108'})"
"frozenset({'O00154', 'Leptin', 'Q6ZQN5'})"
"frozenset({'Leptin', 'P53779', 'P50151'})"
"frozenset({'Leptin', 'Q6PJQ5', 'Q9H2F5'})"
"frozenset({'P12036', 'Leptin', 'P49841'})"
"frozenset({'P19838', 'Leptin', 'O43707'})"
"frozenset({'Leptin', 'P55081', 'Q01094'})"
"frozenset({'Leptin', 'Q7L190', 'Q96CW5'})"
"frozenset({'Leptin', 'P01567', 'Q08334'})"
"frozenset({'Leptin', 'O15226', 'P35228'})"
"frozenset({'Leptin', 'P17643', 'P34932'})"
"frozenset({'Leptin', 'P42336', 'P46531'})"
"frozenset({'Leptin', 'P18146', 'O15479'})"
"frozenset({'Leptin', 'P63208', 'Q9BZK7'})"
"frozenset({'P62714', 'Leptin', 'O95352'})"
"frozenset({'Q6N069', 'Leptin', 'Q86V81'})"
"frozenset({'Leptin', 'Q8WTS6', 'Q658P3'})"
"frozenset({'Q9UHD8', 'Leptin', 'Q16665'})"
"frozenset({'P00533', 'Leptin', 'Q71RC2'})"
"frozenset({'Leptin', 'P15927', 'Q9BUQ8'})"
"frozenset({'Q00975', 'Leptin', 'Q02410'})"
"frozenset({'Leptin', 'P84103', 'P05067'})"
"frozenset({'Leptin', 'P0DP25', 'P17677'})"
"frozenset({'O95197', 'Leptin', 'P11142'})"
"frozenset({'Leptin', 'Q8WV44', 'Q9C0F1'})"
"frozenset({'Q8IUC8', 'Leptin', 'Q13868'})"
"frozenset({'Q00987', 'Leptin', 'P62195'})"
"frozenset({'Q7L3B6', 'Leptin', 'O14980'})"
"frozenset({'Leptin', 'P01024', 'P20023'})"
"frozenset({'Leptin', 'Q9UM47', 'P01106'})"
"frozenset({'Leptin', 'Q7L0Q8', 'O60269'})"
"frozenset({'Leptin', 'P50150', 'P35414'})"
"frozenset({'Q9P0N5', 'Leptin', 'O15126'})"
"frozenset({'Leptin', 'Q8NDV7', 'Q9HCK5'})"
"frozenset({'P26038', 'Leptin', 'P17612'})"
"frozenset({'Q7Z3B4', 'Leptin', 'P06753'})"
"frozenset({'Leptin', 'Q9UBU9', 'P07900'})"
"frozenset({'Leptin', 'P11802', 'P30279'})"
"frozenset({'Leptin', 'P55072', 'P24941'})"
"frozenset({'Leptin', 'Q8TEV9', 'Q9UHD2'})"
"frozenset({'Leptin', 'P51808', 'P23396'})"
"frozenset({'P14210', 'Leptin', 'P15924'})"
"frozenset({'Leptin', 'P10721', 'P48736'})"
"frozenset({'Leptin', 'P35609', 'P07384'})"
"frozenset({'Q8IYU2', 'Leptin', 'P13631'})"
"frozenset({'P17252', 'Leptin', 'Q68CJ9'})"
"frozenset({'Leptin', 'Q6IQ49', 'Q15717'})"
"frozenset({'Leptin', 'Q9ULD6', 'Q9UNM6'})"
"frozenset({'Q93009', 'Leptin', 'P14618'})"
"frozenset({'Leptin', 'Q9C0B0', 'P23396'})"
"frozenset({'Q8N960', 'Q9NPJ6', 'Leptin'})"
"frozenset({'Leptin', 'P14635', 'Q01094'})"
"frozenset({'Leptin', 'Q7L5Y6', 'P51965'})"
"frozenset({'P49411', 'Leptin', 'P18621'})"
"frozenset({'Leptin', 'P61313', 'P62753'})"
"frozenset({'Leptin', 'Q53ET0', 'P49675'})"
"frozenset({'Leptin', 'Q8TAQ2', 'O00716'})"
"frozenset({'Leptin', 'Q15056', 'Q9Y248'})"
"frozenset({'Leptin', 'Q9BRX5', 'O14810'})"
"frozenset({'Leptin', 'O15127', 'P62079'})"
"frozenset({'Q16644', 'Leptin', 'P61019'})"
"frozenset({'Leptin', 'Q9NRI5', 'Q13885'})"
"frozenset({'O14735', 'Leptin', 'P57078'})"
"frozenset({'Leptin', 'Q9UET6', 'P61970'})"
"frozenset({'Leptin', 'Q08117', 'Q96FQ7'})"
"frozenset({'Leptin', 'Q68CZ1', 'P17812'})"
"frozenset({'Leptin', 'Q9H9S0', 'Q96MG8'})"
"frozenset({'Leptin', 'P20849', 'P08572'})"
"frozenset({'Leptin', 'O95067', 'Q17RY0'})"
"frozenset({'Leptin', 'P61289', 'Q8N163'})"
"frozenset({'Leptin', 'Q86WI3', 'O15111'})"
"frozenset({'Leptin', 'Q13285', 'P0DI81'})"
"frozenset({'Q7Z589', 'Leptin', 'Q2KHR3'})"
"frozenset({'Q13233', 'Q14257', 'Leptin'})"
"frozenset({'Q02548', 'Leptin', 'Q2WGJ6'})"
"frozenset({'P26640', 'Leptin', 'Q8WYK2'})"
"frozenset({'Q9H0H5', 'Leptin', 'Q9H4E5'})"
"frozenset({'Leptin', 'Q9NVI7', 'Q8TCJ0'})"
"frozenset({'Leptin', 'Q9Y2H1', 'Q9H8S9'})"
"frozenset({'Leptin', 'Q9BYV9', 'P23443'})"
"frozenset({'Leptin', 'P50914', 'Q9Y3U8'})"
"frozenset({'Q96NE9', 'Leptin', 'P27348'})"
"frozenset({'Leptin', 'Q9BUU2', 'P42704'})"
"frozenset({'P01909', 'Leptin', 'Q15842'})"
"frozenset({'Leptin', 'P61244', 'Q9HCH0'})"
"frozenset({'Q96G04', 'Q8TBB1', 'Leptin'})"
"frozenset({'Leptin', 'Q96GD4', 'P25788'})"
"frozenset({'Q86VQ0', 'Leptin', 'O43379'})"
"frozenset({'Leptin', 'Q00839', 'P62888'})"
"frozenset({'Q9UI30', 'Leptin', 'Q07955'})"
"frozenset({'Leptin', 'P68400', 'P56270'})"
"frozenset({'O95166', 'Leptin', 'Q13151'})"
"frozenset({'Leptin', 'Q9HB07', 'P11142'})"
"frozenset({'Leptin', 'P78406', 'Q6IQ23'})"
"frozenset({'Leptin', 'Q13203', 'Q96S82'})"
"frozenset({'Leptin', 'Q15269', 'Q13618'})"
"frozenset({'Leptin', 'O15498', 'Q96GX1'})"
"frozenset({'Leptin', 'Q6PJ61', 'P63208'})"
"frozenset({'O75593', 'Q9NTJ3', 'Leptin'})"
"frozenset({'O95817', 'Q9NUX5', 'Leptin'})"
"frozenset({'Leptin', 'Q92831', 'P50549'})"
"frozenset({'Leptin', 'Q96KQ4', 'Q16821'})"
"frozenset({'P00540', 'Leptin', 'P35609'})"
"frozenset({'Leptin', 'P13569', 'Q9NVA2'})"
"frozenset({'Leptin', 'P04637', 'O75832'})"
"frozenset({'P0C0S8', 'Leptin', 'Q9NYB0'})"
"frozenset({'Q93034', 'Leptin', 'O00571'})"
"frozenset({'Leptin', 'Q13618', 'P34932'})"
"frozenset({'Q8NEY1', 'Leptin', 'O60343'})"
"frozenset({'Leptin', 'Q96GF1', 'Q9NRR5'})"
"frozenset({'Q5VX71', 'Leptin', 'O94808'})"
"frozenset({'Leptin', 'P62241', 'P62269'})"
"frozenset({'Q7Z7L1', 'Q9BWH6', 'Leptin'})"
"frozenset({'Leptin', 'Q9NPA2', 'P10909'})"
"frozenset({'Leptin', 'P62993', 'Q9NRW1'})"
"frozenset({'A5A3E0', 'Leptin', 'O95813'})"
"frozenset({'Leptin', 'O95072', 'Q15173'})"
"frozenset({'Leptin', 'Q7Z3T8', 'P62136'})"
"frozenset({'Leptin', 'P04629', 'O00291'})"
"frozenset({'Leptin', 'Q01201', 'P01584'})"
"frozenset({'P14784', 'Leptin', 'P60568'})"
"frozenset({'Leptin', 'Q9BQ70', 'P43364'})"
"frozenset({'Q13237', 'Leptin', 'P08238'})"
"frozenset({'Leptin', 'Q13315', 'Q9BWU0'})"
"frozenset({'Leptin', 'P04629', 'O43707'})"
"frozenset({'Q68DK2', 'Leptin', 'P48775'})"
"frozenset({'Leptin', 'Q9Y4G6', 'P26010'})"
"frozenset({'O43678', 'Leptin', 'P61421'})"
"frozenset({'Q9NVU0', 'Leptin', 'Q9Y250'})"
"frozenset({'Q86U86', 'Leptin', 'P16401'})"
"frozenset({'Leptin', 'P49840', 'P10071'})"
"frozenset({'Q9Y297', 'Leptin', 'Q96RT1'})"
"frozenset({'Leptin', 'Q9NRM7', 'Q9UL42'})"
"frozenset({'Q96KQ7', 'Leptin', 'P23771'})"
"frozenset({'Q9ULZ3', 'Leptin', 'P59044'})"
"frozenset({'Q6ZRR9', 'O14576', 'Leptin'})"
"frozenset({'Leptin', 'Q9NRG1', 'P56279'})"
"frozenset({'Q6ZSC3', 'Leptin', 'Q15038'})"
"frozenset({'Leptin', 'O60739', 'Q15631'})"
"frozenset({'Leptin', 'Q9BUZ4', 'Q05516'})"
"frozenset({'P00533', 'Leptin', 'Q9UNQ2'})"
"frozenset({'P15884', 'Leptin', 'Q5SY16'})"
"frozenset({'Q02750', 'Leptin', 'Q8N9N5'})"
"frozenset({'Leptin', 'Q16777', 'P19387'})"
"frozenset({'P49411', 'Leptin', 'P46782'})"
"frozenset({'Leptin', 'Q15287', 'Q6P2Q9'})"
"frozenset({'Q8NEY1', 'Leptin', 'Q9H4P4'})"
"frozenset({'Leptin', 'Q13464', 'Q9BZL4'})"
"frozenset({'Leptin', 'Q13148', 'Q96PC2'})"
"frozenset({'Leptin', 'O95619', 'Q13315'})"
"frozenset({'P11274', 'Leptin', 'P34932'})"
"frozenset({'Leptin', 'Q9H0S4', 'F7VJQ1'})"
"frozenset({'Leptin', 'Q9HC44', 'Q9H8W4'})"
"frozenset({'O75146', 'Leptin', 'Q01844'})"
"frozenset({'Leptin', 'Q12926', 'O43251'})"
"frozenset({'P20036', 'Q9NQ11', 'Leptin'})"
"frozenset({'Q9BRK4', 'Q9Y316', 'Leptin'})"
"frozenset({'P35241', 'Leptin', 'P08567'})"
"frozenset({'Leptin', 'O60292', 'Q66GS9'})"
"frozenset({'Leptin', 'Q15843', 'P54252'})"
"frozenset({'Q9NPF4', 'Leptin', 'Q9HB58'})"
"frozenset({'Q07157', 'Leptin', 'Q16666'})"
"frozenset({'P48643', 'Leptin', 'Q9C0B0'})"
"frozenset({'Leptin', 'P62987', 'Q70CQ3'})"
"frozenset({'O95166', 'Leptin', 'P51648'})"
"frozenset({'Q99728', 'Leptin', 'O95232'})"
"frozenset({'Q9P0J7', 'Leptin', 'P63146'})"
"frozenset({'Leptin', 'Q14676', 'Q9Y679'})"
"frozenset({'P60033', 'P10721', 'Leptin'})"
"frozenset({'P49411', 'Leptin', 'P82664'})"
"frozenset({'Leptin', 'Q12933', 'O15015'})"
"frozenset({'Leptin', 'O75182', 'P52739'})"
"frozenset({'Leptin', 'Q9BYV6', 'Q96FW1'})"
"frozenset({'P29320', 'Leptin', 'P98172'})"
"frozenset({'Leptin', 'Q8NAV1', 'P49760'})"
"frozenset({'P32298', 'Leptin', 'P46094'})"
"frozenset({'P54136', 'Leptin', 'Q13509'})"
"frozenset({'P00533', 'Leptin', 'P31946'})"
"frozenset({'Q12834', 'Leptin', 'Q9UPT9'})"
"frozenset({'Leptin', 'Q9NVR5', 'P20340'})"
